iter	Passed	Remaining
1386	7404	3272
1387	7409	3266
1388	7414	3261
1389	7418	3255
1390	7423	3250
1391	7428	3244
1392	7434	3239
1393	7438	3233
1394	7443	3228
1395	7448	3222
1396	7454	3217
1397	7459	3212
1398	7464	3206
1399	7469	3201
1400	7474	3195
1401	7479	3190
1402	7483	3184
1403	7488	3179
1404	7493	3173
1405	7498	3167
1406	7503	3162
1407	7508	3156
1408	7513	3151
1409	7518	3145
1410	7523	3140
1411	7528	3135
1412	7533	3129
1413	7538	3124
1414	7543	3118
1415	7548	3113
1416	7553	3107
1417	7558	3102
1418	7563	3096
1419	7568	3091
1420	7574	3086
1421	7579	3080
1422	7584	3075
1423	7589	3069
1424	7594	3064
1425	7599	3059
1426	7604	3053
1427	7609	3048
1428	7615	3042
1429	7620	3037
1430	7625	3031
1431	7630	3026
1432	7635	3021
1433	7640	3015
1434	7645	3010
1435	7651	3005
1436	7656	2999
1437	7661	2994
1438	7666	2988
1439	7671	2983
1440	7676	2978
1441	7682	2972
1442	7687	2967
1443	7692	2961
1444	7697	2956
1445	7702	2950
1446	7707	2945
1447	7712	2940
1448	7717	2934
1449	7722	2929
1450	7728	2924
1451	7733	2918
1452	7738	2913
1453	7743	2907
1454	7748	2902
1455	7753	2897
1456	7758	2891
1457	7763	2886
1458	7769	2880
1459	7774	2875
1460	7779	2869
1461	7784	2864
1462	7789	2859
1463	7794	2853
1464	7798	2848
1465	7804	2842
1466	7809	2837
1467	7814	2831
1468	7819	2826
1469	7824	2821
1470	7829	2815
1471	7834	2810
1472	7840	2805
1473	7845	2799
1474	7850	2794
1475	7855	2788
1476	7860	2783
1477	7865	2777
1478	7870	2772
1479	7875	2767
1480	7880	2761
1481	7885	2756
1482	7889	2750
1483	7894	2745
1484	7899	2739
1485	7904	2734
1486	7909	2728
1487	7914	2723
1488	7919	2717
1489	7924	2712
1490	7929	2707
1491	7934	2701
1492	7939	2696
1493	7944	2690
1494	7949	2685
1495	7954	2680
1496	7959	2674
1497	7964	2669
1498	7969	2663
1499	7974	2658
1500	7979	2652
1501	7984	2647
1502	7989	2641
1503	7994	2636
1504	7999	2630
1505	8004	2625
1506	8009	2620
1507	8014	2614
1508	8019	2609
1509	8024	2603
1510	8029	2598
1511	8034	2593
1512	8039	2587
1513	8044	2582
1514	8049	2576
1515	8054	2571
1516	8059	2565
1517	8064	2560
1518	8069	2555
1519	8074	2549
1520	8079	2544
1521	8084	2539
1522	8089	2533
1523	8095	2528
1524	8100	2523
1525	8105	2517
1526	8110	2512
1527	8115	2506
1528	8120	2501
1529	8125	2496
1530	8131	2490
1531	8136	2485
1532	8141	2480
1533	8146	2474
1534	8151	2469
1535	8156	2464
1536	8161	2458
1537	8166	2453
1538	8172	2447
1539	8176	2442
1540	8181	2437
1541	8186	2431
1542	8191	2426
1543	8197	2420
1544	8202	2415
1545	8207	2410
1546	8212	2404
1547	8217	2399
1548	8222	2394
1549	8228	2388
1550	8233	2383
1551	8238	2378
1552	8243	2372
1553	8248	2367
1554	8253	2361
1555	8258	2356
1556	8263	2351
1557	8268	2345
1558	8273	2340
1559	8279	2335
1560	8284	2329
1561	8289	2324
1562	8294	2319
1563	8299	2313
1564	8305	2308
1565	8310	2303
1566	8315	2297
1567	8321	2292
1568	8326	2287
1569	8331	2281
1570	8336	2276
1571	8341	2271
1572	8347	2265
1573	8352	2260
1574	8357	2255
1575	8362	2249
1576	8367	2244
1577	8372	2239
1578	8377	2233
1579	8382	2228
1580	8388	2223
1581	8392	2217
1582	8398	2212
1583	8403	2206
1584	8408	2201
1585	8413	2196
1586	8418	2190
1587	8423	2185
1588	8428	2180
1589	8433	2174
